province,total_disasters,total_death,total_injured,total_missing,total_damaged_house,total_flooded_house,total_damaged_facility,BANJIR,CUACA EKSTREM,ERUPSI GUNUNG API,GELOMBANG PASANG / ABRASI,GELOMBANG PASANG DAN ABRASI,GEMPA BUMI,GEMPA BUMI DAN TSUNAMI,KEBAKARAN HUTAN DAN LAHAN,KEKERINGAN,PUTING BELIUNG,TANAH LONGSOR,TSUNAMI
ACEH,1548,182.92576037143363,641.8296644434173,27.425989538466588,5939.0,353395.93711125886,525,566,365,0,18,0,5,0,478,2,53,61,0
BALI,513,152.18331098414106,1100.3136959736373,3.168309115730279,2897.0,11128.68658324762,1296,69,116,27,13,0,35,0,33,13,6,201,0
BANTEN,544,464.2108342425438,10966.1697973859,19.408681791439108,16739.0,110852.83369177711,521,244,156,0,0,0,14,0,44,16,24,44,2
BENGKULU,208,80.11452209290512,228.55031847317687,7.547595731919185,3191.0,51343.11594104922,275,122,29,0,2,0,3,0,16,2,6,28,0
DAERAH ISTIMEWA YOGYAKARTA,213,52.094759693410964,253.88957823848187,1.30462103935995,977.0,846.9464308039369,79,6,62,0,0,0,7,0,113,1,0,24,0
DI YOGYAKARTA,248,38.7704564394671,143.27334463134352,3.013833042449841,2119.0,3897.9517533213416,588,29,131,9,7,0,2,0,1,5,18,46,0
DKI JAKARTA,202,53.32035299808025,88.25799736529045,2.892928143738128,558.0,30450.284829978216,6,150,20,0,0,0,1,0,0,0,4,27,0
GORONTALO,187,25.69919353101105,108.89967703586323,6.05774803592768,2329.0,62186.64296058001,70,125,20,0,0,0,0,0,7,25,1,9,0
JAMBI,380,32.3174002546495,88.04569792140491,9.373582597696208,4095.0,130496.61109459339,203,136,49,0,4,0,0,0,168,0,1,22,0
JAWA BARAT,6159,1917.4930778824619,13979.58773417767,60.551943466893704,130493.0,1100686.2864303722,3833,1066,1909,1,8,0,85,0,267,122,355,2346,0
JAWA TENGAH,4500,737.7053430038944,3088.452376925986,51.78625690810153,32538.0,846370.8617901999,1442,950,1384,16,21,0,19,0,386,111,171,1442,0
JAWA TIMUR,2387,591.8840739269345,3282.4015804469554,36.581151944318975,51649.276731752674,443990.2450591859,2474,724,708,2,10,0,54,0,371,54,158,306,0
KALIMANTAN BARAT,538,66.72477110000216,203.40158119762248,8.313379935268232,2547.0,490045.17296992056,555,266,65,0,2,0,0,0,175,0,4,26,0
KALIMANTAN SELATAN,1403,142.46735942395142,1188.6164887493726,12.172812265626332,24337.0,413794.3318969996,1543,275,202,0,5,0,3,0,851,4,20,43,0
KALIMANTAN TENGAH,653,60.62422979364016,263.15021108928784,17.62384337923724,328.0,351156.494626953,570,279,25,0,10,0,0,0,322,0,4,13,0
KALIMANTAN TIMUR,632,44.16200061330122,244.52144111559318,7.887297837785246,1123.0,138808.10875165358,100,150,28,0,3,0,0,0,330,1,4,116,0
KALIMANTAN UTARA,269,31.35878201165986,78.98713856414705,2.438081935406183,289.0,41450.522819944934,102,65,14,0,2,0,0,0,114,0,1,73,0
KEPULAUAN BANGKA BELITUNG,382,56.3071787797981,115.70596626824829,1.711486955302281,1639.0,17775.904205149043,48,62,66,0,1,0,0,0,215,4,25,9,0
KEPULAUAN RIAU,340,65.41298788719632,67.77186613264998,10.952677543178794,686.0,10396.43730757217,29,39,46,0,6,0,0,0,229,1,7,12,0
LAMPUNG,378,222.38461892583888,4411.348448117236,19.018871943837034,11136.0,46403.815718287995,105,148,103,2,3,0,2,0,56,5,27,27,5
MALUKU,242,133.54261640900748,2140.0380400325207,3.8366792003500767,14831.0,17681.918372834472,960,98,39,0,14,0,24,0,21,4,4,38,0
MALUKU UTARA,197,94.23971425034293,769.4397520953257,4.548020458975755,5679.0,27696.673798360145,466,129,22,2,10,0,15,0,2,0,8,9,0
NUSA TENGGARA BARAT,574,681.0298951915103,2415.099932413047,7.074654456284444,234980.0,108708.97039923411,1722,292,139,0,8,0,22,0,9,36,18,50,0
NUSA TENGGARA TIMUR,538,315.9567138873146,1020.2982089088539,55.10007966159783,62707.0,76004.73387890987,5017,154,202,3,18,0,10,0,20,45,8,78,0
P A P U A,16,12.285206496071087,107.71670177548086,0.3737413533280185,509.0,1721.679802955665,91,8,0,0,3,1,2,0,0,0,0,2,0
PAPUA,77,155.68325712438224,1470.4861374368509,89.12002481273382,4072.0,14863.78847631242,318,52,5,0,8,0,7,0,0,0,1,4,0
PAPUA BARAT,72,21.97206255191078,69.7360124352372,1.6555108347312075,801.0,18129.360029229778,36,54,3,0,1,1,1,0,7,0,1,4,0
PAPUA BARAT DAYA,6,1.2880698351115418,8.61647615293654,0.27220345718259487,12.0,4214.723559539052,0,6,0,0,0,0,0,0,0,0,0,0,0
PAPUA PEGUNUNGAN,4,3.2576139670223085,27.0,0.07543516657464053,1177.0,727.7235595390525,3,1,0,0,0,0,0,0,0,0,0,3,0
PAPUA SELATAN,5,0.5152279340446168,3.446590461174616,0.10888138287303795,849.0,1421.7235595390525,3,4,0,0,0,1,0,0,0,0,0,0,0
PAPUA TENGAH,3,13.0,3.0,0.0,0.0,1455.447119078105,0,2,0,0,0,0,0,0,0,1,0,0,0
RIAU,721,64.45331380031855,371.3830828156041,7.759264936950453,18328.0,198526.4694640682,543,273,50,0,12,0,1,0,346,0,11,28,0
SULAWESI BARAT,191,155.97958962690194,11373.078530320008,11.220116075237685,17955.0,35694.99558820155,549,89,40,0,8,0,13,1,7,1,3,29,0
SULAWESI SELATAN,1182,382.16606929211457,983.8362533800538,28.74443725953661,23319.0,286093.24773912865,1561,358,498,0,16,0,4,0,56,19,71,160,0
SULAWESI TENGAH,525,4260.5180539509975,5323.509723363175,723.7907545871807,113903.0,63155.76576132474,2563,384,65,0,22,0,11,4,14,2,6,17,0
SULAWESI TENGGARA,187,42.454373788566194,182.59473701086216,2.675677011408001,7691.0,27040.728339036996,254,99,43,0,10,0,1,0,5,4,5,20,0
SULAWESI UTARA,192,97.30962408470886,442.5915952518649,6.367095312213415,11898.0,56323.56484981548,109,101,34,6,12,0,5,0,5,3,0,26,0
SUMATERA BARAT,921,377.42817700080957,7187.400465413223,36.124717577524166,18751.0,148937.4511586655,1552,358,318,3,10,0,16,0,56,4,34,122,0
SUMATERA SELATAN,587,87.94382113661572,262.4506444335275,8.622585373994282,5834.0,134781.27721615738,188,254,103,0,1,0,0,0,158,3,26,42,0
SUMATERA UTARA,848,273.4626668712335,1242.3156377726582,52.208256681113156,9890.0,453694.1037185388,532,418,209,19,2,0,8,0,85,1,28,78,0
